obj_id,obj_type,obj_variant,trial,hexagram_name,hexagram_similarity,strategy_type,force_preset,modifier,effective_force,S_yao,inference_ms,strategy_label,difficulty,occluded,yao_relations_enabled
14,cylinder,易拉罐,1,LU_GUA,0.9511,conditional_grasp,0.5,0.9,0.45,0.51,3.59,neutral,medium,True,True
14,cylinder,易拉罐,2,LU_GUA,0.9511,conditional_grasp,0.5,0.9,0.45,0.51,3.55,neutral,medium,True,True
15,bowl,陶瓷碗,0,LIN,0.9702,top_down_grasp,0.45,1.0,0.45,0.64,3.88,reasonable,medium,False,True
15,bowl,陶瓷碗,1,LIN,0.9702,top_down_grasp,0.45,1.0,0.45,0.64,3.56,reasonable,medium,False,True
15,bowl,陶瓷碗,2,LIN,0.9702,top_down_grasp,0.45,1.0,0.45,0.64,3.54,reasonable,medium,False,True
16,bowl,不锈钢碗,0,YI_GUA,0.9829,progressive_grasp,0.36,0.9,0.32,0.46,3.54,neutral,medium,False,True
16,bowl,不锈钢碗,1,YI_GUA,0.9829,progressive_grasp,0.36,0.9,0.32,0.46,3.48,neutral,medium,False,True
16,bowl,不锈钢碗,2,YI_GUA,0.9829,progressive_grasp,0.36,0.9,0.32,0.46,3.56,neutral,medium,False,True
17,bowl,陶瓷碗,0,LIN,0.969,top_down_grasp,0.45,1.0,0.45,0.47,3.58,reasonable,medium,True,True
17,bowl,陶瓷碗,1,LIN,0.969,top_down_grasp,0.45,1.0,0.45,0.47,3.5,reasonable,medium,True,True
17,bowl,陶瓷碗,2,LIN,0.969,top_down_grasp,0.45,1.0,0.45,0.47,3.47,reasonable,medium,True,True
18,bowl,陶瓷碗,0,SHENG,0.9429,top_down_grasp,0.45,1.0,0.45,0.47,3.47,reasonable,medium,False,True
18,bowl,陶瓷碗,1,SHENG,0.9429,top_down_grasp,0.45,1.0,0.45,0.47,3.51,reasonable,medium,False,True
18,bowl,陶瓷碗,2,SHENG,0.9429,top_down_grasp,0.45,1.0,0.45,0.47,3.65,reasonable,medium,False,True
19,bowl,陶瓷碗,0,YI_GUA,0.9632,progressive_grasp,0.36,0.9,0.32,0.51,3.55,neutral,medium,False,True
19,bowl,陶瓷碗,1,YI_GUA,0.9632,progressive_grasp,0.36,0.9,0.32,0.51,3.63,neutral,medium,False,True
19,bowl,陶瓷碗,2,YI_GUA,0.9632,progressive_grasp,0.36,0.9,0.32,0.51,3.57,neutral,medium,False,True
20,bottle,药瓶,0,JIAREN,0.992,coordinated_grasp,0.45,0.9,0.41,0.46,3.59,neutral,medium,False,True
20,bottle,药瓶,1,JIAREN,0.992,coordinated_grasp,0.45,0.9,0.41,0.46,3.49,neutral,medium,False,True
20,bottle,药瓶,2,JIAREN,0.992,coordinated_grasp,0.45,0.9,0.41,0.46,3.5,neutral,medium,False,True
21,bottle,塑料瓶,0,TONGREN,0.9407,coordinated_grasp,0.5,1.0,0.5,0.52,3.45,neutral,medium,False,True
21,bottle,塑料瓶,1,TONGREN,0.9407,coordinated_grasp,0.5,1.0,0.5,0.52,3.42,neutral,medium,False,True
21,bottle,塑料瓶,2,TONGREN,0.9407,coordinated_grasp,0.5,1.0,0.5,0.52,3.41,neutral,medium,False,True
22,bottle,玻璃瓶,0,TONGREN,0.9756,coordinated_grasp,0.47,0.95,0.45,0.54,3.37,neutral,medium,False,True
22,bottle,玻璃瓶,1,TONGREN,0.9756,coordinated_grasp,0.47,0.95,0.45,0.54,3.44,neutral,medium,False,True
22,bottle,玻璃瓶,2,TONGREN,0.9756,coordinated_grasp,0.47,0.95,0.45,0.54,3.54,neutral,medium,False,True
23,bottle,玻璃瓶,0,TONGREN,0.9528,coordinated_grasp,0.53,1.05,0.56,0.73,3.57,neutral,medium,False,True
23,bottle,玻璃瓶,1,TONGREN,0.9528,coordinated_grasp,0.53,1.05,0.56,0.73,3.46,neutral,medium,False,True
23,bottle,玻璃瓶,2,TONGREN,0.9528,coordinated_grasp,0.53,1.05,0.56,0.73,3.41,neutral,medium,False,True
24,bottle,玻璃瓶,0,TONGREN,0.9466,coordinated_grasp,0.47,0.95,0.45,0.54,3.56,neutral,medium,False,True
24,bottle,玻璃瓶,1,TONGREN,0.9466,coordinated_grasp,0.47,0.95,0.45,0.54,3.5,neutral,medium,False,True
24,bottle,玻璃瓶,2,TONGREN,0.9466,coordinated_grasp,0.47,0.95,0.45,0.54,3.46,neutral,medium,False,True
25,plate,塑料盘,0,MINGYI,0.9593,low_visibility_grasp,0.45,1.0,0.45,0.64,3.52,neutral,medium,False,True
25,plate,塑料盘,1,MINGYI,0.9593,low_visibility_grasp,0.45,1.0,0.45,0.64,3.51,neutral,medium,False,True
25,plate,塑料盘,2,MINGYI,0.9593,low_visibility_grasp,0.45,1.0,0.45,0.64,3.41,neutral,medium,False,True
26,plate,纸盘,0,MINGYI,0.9696,low_visibility_grasp,0.45,1.0,0.45,0.64,3.47,neutral,medium,True,True
